Thumbnail,Folder Link,Material Name,basecolor,normal,ambientOcclusion,height,roughness,metallic,opacity
https://drive.google.com/uc?export=view&id=1jX1WERWyuPQLLiQB6_drL5hSuU2k6Iff,https://drive.google.com/drive/folders/1a5n6_I-VwQEdFtheGw2c2EQyyOyEYar9,Terrazzo_003,https://drive.google.com/uc?export=view&id=1YFXvhM1pFroX_C1hU108UaapvwrEUE3D,https://drive.google.com/uc?export=view&id=1-vwEfnKHONxBb_8yYQlg19vT3c9DJOT_,https://drive.google.com/uc?export=view&id=1j4RSb2tefQNXCZtgDsiXjyDp6mayr-Cp,https://drive.google.com/uc?export=view&id=1a4yiminFscD72nIey2toyoFActBMjOkL,https://drive.google.com/uc?export=view&id=13bGVha8oj5vVozDwx0CPbdEmAsm585_H,,
https://drive.google.com/uc?export=view&id=1O9qugEtFji60w5u-z9uQ_NXVZ4YUzX9A,https://drive.google.com/drive/folders/1hLsKHtMhaFhIzHpD9h4Ck_J3PkDc5ovO,Sci-Fi_Wall_013,https://drive.google.com/uc?export=view&id=1m45ZZxFn91RH2KP3BaNlBr-XPwfZeOlE,https://drive.google.com/uc?export=view&id=1rDyGKrwO6rXYK41HAtluFrLt5vrKI93X,https://drive.google.com/uc?export=view&id=1NRFuj55JMe6e1LNq0brngXx18uTO6PB7,https://drive.google.com/uc?export=view&id=1o-uNT9WReD7LIK2qeGpyWPJkQhyHFg2F,https://drive.google.com/uc?export=view&id=1xj1NTpX4iNn9SCQj77ck9_8gQWmOtFBv,https://drive.google.com/uc?export=view&id=1yOYC0w0SsWmn18nPzguyK4t0aatCctyv,
https://drive.google.com/uc?export=view&id=1mDyixrF8hnKQYhPilySp1dUmxyHrEY09,https://drive.google.com/drive/folders/147M1ZCiEgHP13MpwQOY7JBuc1AcgfqKV,Plastic_003,https://drive.google.com/uc?export=view&id=1AL349DLG1ePi5SU5doSZX3FZU8HGTZln,https://drive.google.com/uc?export=view&id=1i8cs1lYYfTVl7RugquiOZ-zsZLqS0C5G,https://drive.google.com/uc?export=view&id=1R90K5hr53gwCymoQI9HFc4dsahiuBkBU,https://drive.google.com/uc?export=view&id=1VCqRm8EhGUm-kXVzlg3Qlk97F4NOZM9I,https://drive.google.com/uc?export=view&id=1ntO8qAThkE3RDoQt5OxBJHjv7EE4yUuC,https://drive.google.com/uc?export=view&id=1oSvk4IL0VpHPBRnELvk0VBLFvHKH3k-q,
https://drive.google.com/uc?export=view&id=1Z39sNKLNxxx78G03NVInM3gKQd2RZd3a,https://drive.google.com/drive/folders/1mxHdJwcSWTUsykIu4IbxzeM9i8ygZINq,Fabric_Lace_015,https://drive.google.com/uc?export=view&id=1ERnvOfup_XJxFatdYI2BOWEmwo3a5OHc,https://drive.google.com/uc?export=view&id=10H9Ic8jd5f2JvGjnIC914DSmKwkTxWRc,https://drive.google.com/uc?export=view&id=15GzRYtmrJgom6onMSfVw_u2PBwVdzkup,https://drive.google.com/uc?export=view&id=17MX8O1QQj9-Ml96_ffY35RZNajaC7iW3,https://drive.google.com/uc?export=view&id=18TL6z7Em8dyzwoOyXK-PW2bXlQ62TOgD,,https://drive.google.com/uc?export=view&id=1dqvmoRngSx7Jkvi-i70s-nJUvCzTMZMX
https://drive.google.com/uc?export=view&id=1QbChCZKJrmx6vxGjVnf-DY8LCZBZbebi,https://drive.google.com/drive/folders/1rWvlwCjohmAoCraoUa4G098V4YtHkwnW,Bricks_Terracotta_003,https://drive.google.com/uc?export=view&id=1wkYgkfNaSWOd72h-Lngsij8YpHQq7_6U,https://drive.google.com/uc?export=view&id=1UtZiO7EnSeiRMGzuoNREuv4plXrQwQG0,https://drive.google.com/uc?export=view&id=1G3PAnbVKjmYDczpz0v8Eb9eRAbXYqnDJ,https://drive.google.com/uc?export=view&id=119p26o9TtlKhlFOYKgsWYJnCNiOHP9Lu,https://drive.google.com/uc?export=view&id=1N2TCy6ibFEE1mq4CSLkBfYH2McS2TcDQ,,
https://drive.google.com/uc?export=view&id=1J0AOI2-AMAZH9wn2_yUAitV5liBICyj5,https://drive.google.com/drive/folders/1-Tw5P23MaplMfFWc_hhhlXmnEsgdssuY,Fabric_Lace_014,https://drive.google.com/uc?export=view&id=16Q48EusG7c4ltfMaTHDj4H1pOOVI8Lwb,https://drive.google.com/uc?export=view&id=1PlRYBKtn4_Tb7johazcNOQlJ50rpFSDX,https://drive.google.com/uc?export=view&id=1jUa5VAr3GUgdkEU1R5ISmLtVHOydFAfT,https://drive.google.com/uc?export=view&id=14BXjdWXT496kHPpod7i59_RcR_p4dCY-,https://drive.google.com/uc?export=view&id=1rv1KwK0N5k55WaSqBe2B2kmA2aO9g6f-,,https://drive.google.com/uc?export=view&id=1bK_45HPf0bhf30b4q2HBxfTVo4FJCMUx
https://drive.google.com/uc?export=view&id=1TCattqwoCZkyQiBYmi7hGAXTBTlcOQtd,https://drive.google.com/drive/folders/10JeaPp5v6M9YuHbgwxidwav2qrrblElO,Wood_Particle_Board_004,https://drive.google.com/uc?export=view&id=1YePon1kjrz3J-c5dWBHZFdrNH3KWdAsJ,https://drive.google.com/uc?export=view&id=1t1RlIt7Xzk50MofnitFTeHzPSFqJc2i2,https://drive.google.com/uc?export=view&id=1dTcGnlHcv7re1pmpYY_Koqy6vCWRPH0P,https://drive.google.com/uc?export=view&id=1AcEMyUjK6dSilyjkExVbYnhyVQzFplq_,https://drive.google.com/uc?export=view&id=1ALZt9SKibGhr_1jZr7wu0N0B4ZLQYXf0,,
https://drive.google.com/uc?export=view&id=1mz7GtMLeNU7aFVU4OMwL116Id9N4iD9D,https://drive.google.com/drive/folders/1PhOJQJ9aF1AuTow5M6waik5uJWMBxOzP,Stylized_Bricks_002,https://drive.google.com/uc?export=view&id=1Kj6nK8neAgMyUg9tl2zdbk9-Adx5vWrP,https://drive.google.com/uc?export=view&id=1-Y8KWKmjGMc7ULKzwu6xxsCXYnIa8Cev,https://drive.google.com/uc?export=view&id=1RXe1RsiBFIYUO010lPsj-X0kfZqdPvzE,https://drive.google.com/uc?export=view&id=1neJYpPf-TD52hNj9rE2VyAxszkMqlUKG,https://drive.google.com/uc?export=view&id=1vGWmbv4ZqxnxElVJYeb3_4US9jHi-8yK,,
https://drive.google.com/uc?export=view&id=1fPR72xYj9lTR9rhVRJoc0oMCiP_p0zhm,https://drive.google.com/drive/folders/1anL1gjauq7m5lszHb5ER7MnlPwzmT9Jp,Concrete_Wall_012,https://drive.google.com/uc?export=view&id=1GaH2kLDoJzDWFEh7raxvhkokzAwPPI08,https://drive.google.com/uc?export=view&id=16JfxDa9D3OCKWJ8S82prEfx8Dhgl7Tlj,https://drive.google.com/uc?export=view&id=1m-_kwAoF5s1MSFv1kHf78wSreurNrmze,https://drive.google.com/uc?export=view&id=19_VB7KcYTMsHrrbuQ2g5h0cRuXlLFfwY,https://drive.google.com/uc?export=view&id=18niItVSRg9Sbb5dTd30Vj_E0hxyxbNyu,,
https://drive.google.com/uc?export=view&id=1lrK5C8etsReotJLpmW5BwwW6Rs9USgpO,https://drive.google.com/drive/folders/1npEny8BNaCHmFp_G9SR509doaHq14gA6,Abstract_Organic_006,https://drive.google.com/uc?export=view&id=14XeCrb7_0vLhyesaHlpIWy1aePWp0cbe,https://drive.google.com/uc?export=view&id=1ypqg_xstWePuLZSULOq3M-9v5-An9rsF,https://drive.google.com/uc?export=view&id=1jfYeIZhVgjpvvaY99MIuzej69frWcr_H,https://drive.google.com/uc?export=view&id=19FoPuA0FoutfAUUgtedqwRYHACHMqfIl,https://drive.google.com/uc?export=view&id=1elKcAtJ5zMmNwPtiwGcyq0ZMFV1yWi1w,,
