Thumbnail,Folder Link,Material Name,basecolor,normal,ambientOcclusion,height,roughness,metallic,opacity
https://drive.google.com/uc?export=view&id=1kFBC8gcGMHOiYVEos83hfQW0QpCeH7jQ,https://drive.google.com/drive/folders/1FJVSGbBYJnVpMvZPTaMA--PJfblIlBwA,Stylized_Stone_Stairs_001,https://drive.google.com/uc?export=view&id=1xJYB_NoShhx5ky64Q_1FHnO_P5I5Rbaw,https://drive.google.com/uc?export=view&id=1Qh4bzEW-Jql8R2ft-rZxrt-KIzblF_Nv,https://drive.google.com/uc?export=view&id=1tggrnxOLBxRfOPR-UmY6dJ2CKIDTVETu,https://drive.google.com/uc?export=view&id=1WeN9vlNNXj7Q5Xg4AXsPvXOwwLWjzJkA,https://drive.google.com/uc?export=view&id=16VtNGPJxR9ul_8O_0IxFAQgKn2DQjDil,,
https://drive.google.com/uc?export=view&id=1MaoLij3idvzM97Coe6Nos6dPCgCFZxSX,https://drive.google.com/drive/folders/1YhlAs8hX-CUbWHik7_yN6JzK2C4vdXW-,Stylized_Roof_Tiles_003,https://drive.google.com/uc?export=view&id=1kBILS-IGnpmBrrcQOvA7axHSJoHRjtU1,https://drive.google.com/uc?export=view&id=1KhHybF5tARwzKXlcZyR-L0AQxICVIXqs,https://drive.google.com/uc?export=view&id=1RbbZdS_NA9WF7WxLOXWBU1IX_17uU4ZM,https://drive.google.com/uc?export=view&id=1oGi896sbsdoscCarZ1R3PeZ4aiK_gKMJ,https://drive.google.com/uc?export=view&id=1h_ohmgwZbvdw6xL5jHFzO6aeluj3QzTe,,
https://drive.google.com/uc?export=view&id=1zC6kZlEFw82lW3ziVRqcIxV6TOchmcLQ,https://drive.google.com/drive/folders/1tu_AAulxMTda5vIYEhbaGqSae-7sowBQ,Stylized_Round_Stone_Tiles_001,https://drive.google.com/uc?export=view&id=1z4FvVOPW_Ow_fpA-T3iM7BZwNJr2TLC7,https://drive.google.com/uc?export=view&id=1oU8hdzcM4tRenngSFvGhNmNuWVsBAIQX,https://drive.google.com/uc?export=view&id=16n_PGjlJb8oZTZ2Vm2b0KpT9hBn0Qn08,https://drive.google.com/uc?export=view&id=1AcaJtAnB-2Cb-qMcuXlviQg83clXSbby,https://drive.google.com/uc?export=view&id=16HNLC5GryiUt6mDxv5X_Q7pb2g6rDcpz,,
https://drive.google.com/uc?export=view&id=1Az3ED9ugekk5wL_TY3-Yp6fbeYebDIl_,https://drive.google.com/drive/folders/1YkiTyVDijJthfBTcYKUPkjTPuOGZjKao,Stylized_Stone_Floor_011,https://drive.google.com/uc?export=view&id=1SqWKdUSZh58iB91mmcrF35h0gwo89222,https://drive.google.com/uc?export=view&id=1E6_tTdKVT0j_XSb6AwRuW-lR4FjAQVut,https://drive.google.com/uc?export=view&id=1Jyt53-S9693xMPJggfJ0Yl2ZT2bpSFal,https://drive.google.com/uc?export=view&id=1LvcBvUsGo5iG4RIWGHhO4bKU6qVzHhTj,https://drive.google.com/uc?export=view&id=1F5QrR_6W0EjX6uw0ZXmDjUbq4JcORRtO,,
https://drive.google.com/uc?export=view&id=1r1Mu4RbHeDKgSE5WV5yFMd_gt7wlrTKn,https://drive.google.com/drive/folders/1_HerwpFDM4lkjny2c1NpkR_81YYEXxUp,Stylized_Stone_Wall_003,https://drive.google.com/uc?export=view&id=1yBdDF_tD-eVE_5Et6cHVnriOMDFwM8Dw,https://drive.google.com/uc?export=view&id=1I1giVA1BrYEAnEeENYEruxTmOkdAb-7x,https://drive.google.com/uc?export=view&id=178vRp8mv3luakkLg6zrVfaz3-lXfUzhI,https://drive.google.com/uc?export=view&id=1EAanQXBGh1brRg1AciugFp9QVwBXnEYC,https://drive.google.com/uc?export=view&id=1yA5a0zNV0AKr1CtUbSq3JGvmJa9FWDxJ,,
https://drive.google.com/uc?export=view&id=1Bzi5NcSbpOGbpTpq4iY4olYT0aFF8Ci5,https://drive.google.com/drive/folders/1v302kkv2fx9JlSWB9F6q8ReItX9PArY6,Stylized_Wood_Planks_004,https://drive.google.com/uc?export=view&id=1UXS0uflF9h3RQsx89VTjs5GjBuIziGb6,https://drive.google.com/uc?export=view&id=1qgQCDz1CZifW_PPzI8qEvBlgUmZDQm-h,https://drive.google.com/uc?export=view&id=1gv6-4K61gUtPaWuOcIQvrDgZ6-BjmbRC,https://drive.google.com/uc?export=view&id=1ONpbF1W8eTz5JQJE0bqV-VHLQsCMqrxd,https://drive.google.com/uc?export=view&id=1xOtpgOeTuW3DrWdpQlVFxm6SWtV6Yhka,https://drive.google.com/uc?export=view&id=1vhlYgTlboiOYSAvn2irQhnYqNRGhsE5P,
https://drive.google.com/uc?export=view&id=1Y4--cQb_HRxCLTtDoleyAmWgaUVawsA1,https://drive.google.com/drive/folders/1_jBU2muoAYPkhxQy05kC0B7799GeyDxw,Stylized_Terracotta_Tiles_002,https://drive.google.com/uc?export=view&id=1QCS5V2_4kkBHi2JH9OFWkHWCQosgMkQw,https://drive.google.com/uc?export=view&id=1d8eR5pjYxRtqSN5rnsRvldMkDtf0Mqph,https://drive.google.com/uc?export=view&id=1gmIZPaArsY4IWCNHacRboei9vJQlc1KH,https://drive.google.com/uc?export=view&id=1r0T4kqM9KOXMFr-Xh-zAafsjKlFSMVnw,https://drive.google.com/uc?export=view&id=11OFNVL625qfaaP_C-W_MHZOFtz3Eu7XO,,
https://drive.google.com/uc?export=view&id=1-I_OEhZpM5S54tsDq5k1vsRxkx3JEJYA,https://drive.google.com/drive/folders/1SOJLKfn2Sj3e7-nZlhyLRcTFT-wkZds7,Stylized_Stone_Floor_001b,https://drive.google.com/uc?export=view&id=1o3jKLfRE65ge1IVgxUSrjYnLNry7qRkJ,https://drive.google.com/uc?export=view&id=1avYc51yDJNmHkQAwCBKIWW5rh-w1CDgZ,https://drive.google.com/uc?export=view&id=1E-D51GhtZl3aR-krc5F_IgMm1SZNW75k,https://drive.google.com/uc?export=view&id=1W7mXQK6yTFUlCr6BLtxAw8zKcWxSyvq1,https://drive.google.com/uc?export=view&id=12OaRot_C-xAHZprfxKdZFr5Pnw6Oi1K-,,
https://drive.google.com/uc?export=view&id=1dFVJMKofAl1f7egcQ0gewI8vF5vIyklk,https://drive.google.com/drive/folders/1DMwpaN-Roxt65W_i-9WPOXilpzwwYHXi,Stylized_Scales_003,https://drive.google.com/uc?export=view&id=1ziaR2lOYNsvZIQUAocr3mJU1_uVjSk8T,https://drive.google.com/uc?export=view&id=18ajMyUIK_HYYiB2oyCoWNqlNi__J6J8g,https://drive.google.com/uc?export=view&id=1OfuN9FkXG4zLnNKbeYXGFMiirTJtS6Hp,https://drive.google.com/uc?export=view&id=131R1_S3iRapr0PBgFPvvekq4l1IiBwVM,https://drive.google.com/uc?export=view&id=1BNt9k72rRyFz2hf0_MpztyXyQsb0H7Fu,,
https://drive.google.com/uc?export=view&id=1FNo0doMxM5iU5NZn35V9ml5p8ueLi09O,https://drive.google.com/drive/folders/1j6tUTQtWLogSpb6niazN8m6GaHpOZVYv,Stylized_Metal_Shingles_001,https://drive.google.com/uc?export=view&id=1jjHbBm9Vtkd3YEJS4534jfq659xBmRaZ,https://drive.google.com/uc?export=view&id=1tCqshQo7F39MjvKcmLhUh9kXAXH7xzUU,https://drive.google.com/uc?export=view&id=1kof5LgT8zev1D1xTzw5IwTMi_lco9glw,https://drive.google.com/uc?export=view&id=1QebQVTOKg4JRl3DBrRuK3hpQfGMVsyZM,https://drive.google.com/uc?export=view&id=1sdfnOAaywDTFM-ytR_IUAp6lddHR0b9o,https://drive.google.com/uc?export=view&id=1zJvdR7shwyy5Nbds12oJurni-l_WdnYp,
